                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33861,                 1.6551,                 1.0218,                0.49049,                0.99074,                0.50946,                0.50796,                0.27913,                 1.2595,                  0.659,             0.00055017,             0.00055017,             0.00055017
                      2,                 0.2469,                 1.1173,                0.93746,                0.46419,                0.96509,                0.51278,                0.51187,                  0.257,                 1.2081,                0.57978,              0.0011004,              0.0011004,              0.0011004
                      3,                0.23241,                0.99448,                0.92927,                0.48311,                0.99537,                 0.5286,                0.52063,                0.22555,                 1.0004,                0.52347,               0.001645,               0.001645,               0.001645
                      4,                0.22146,                0.93223,                0.91474,                0.46605,                0.96361,                0.51432,                0.49939,                 0.2633,                 1.0591,                0.59163,              0.0016422,              0.0016422,              0.0016422
                      5,                0.20621,                0.89227,                0.90759,                0.49348,                0.98611,                0.53047,                   0.52,                0.29827,                0.92918,                0.58333,               0.001634,               0.001634,               0.001634
                      6,                0.18476,                0.85648,                0.89741,                0.49857,                0.99679,                0.53531,                0.53468,                 0.1646,                0.83338,                0.49703,              0.0016257,              0.0016257,              0.0016257
                      7,                0.17459,                0.84019,                0.89806,                0.49757,                0.99769,                0.52263,                0.52005,                0.21975,                0.86157,                0.57081,              0.0016175,              0.0016175,              0.0016175
                      8,                0.16944,                0.83486,                0.89044,                0.49704,                      1,                0.52949,                0.50376,                0.19598,                  1.048,                0.52586,              0.0016092,              0.0016092,              0.0016092
                      9,                0.16302,                0.83019,                0.89614,                0.49962,                      1,                0.53097,                0.53091,                0.17653,                0.85054,                0.50788,               0.001601,               0.001601,               0.001601
                     10,                0.15317,                 0.8153,                 0.8871,                0.49892,                0.99769,                0.54793,                0.54526,                 0.1891,                0.84378,                0.52678,              0.0015927,              0.0015927,              0.0015927
                     11,                0.14914,                0.80629,                 0.8841,                0.49934,                      1,                0.51355,                0.51255,                0.16043,                0.80731,                0.50084,              0.0015845,              0.0015845,              0.0015845
                     12,                0.14135,                0.79914,                0.88462,                0.49877,                      1,                0.52909,                0.52831,                0.13477,                0.80061,                0.46894,              0.0015762,              0.0015762,              0.0015762
                     13,                0.13898,                0.79729,                0.88759,                0.48865,                0.99982,                0.53331,                0.53111,                0.16373,                 0.8911,                0.48525,               0.001568,               0.001568,               0.001568
                     14,                0.13883,                 0.7945,                0.88072,                0.48392,                      1,                0.53267,                0.53267,                0.16101,                0.87263,                0.49441,              0.0015597,              0.0015597,              0.0015597
                     15,                0.13555,                0.79191,                0.88296,                0.49564,                0.99537,                0.52417,                 0.5202,                0.25025,                0.89614,                0.58571,              0.0015515,              0.0015515,              0.0015515
