                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38514,                 1.2559,                 1.0172,                0.43382,                 0.6269,                0.41538,                0.36816,                0.51472,                 2.3021,                0.57708,             0.00055017,             0.00055017,             0.00055017
                      2,                0.31871,                0.94627,                0.95023,                0.47319,                0.84208,                0.51446,                0.31389,                0.56554,                 1.5822,                0.73162,              0.0011004,              0.0011004,              0.0011004
                      3,                0.33049,                0.92378,                0.95118,                0.26395,                0.91697,                  0.354,                0.30288,                0.42706,                 1.7292,                0.51759,               0.001645,               0.001645,               0.001645
                      4,                0.28604,                0.87594,                0.92143,                0.40614,                0.96991,                0.49123,                0.48247,                0.37801,                 1.2803,                 0.4478,              0.0016422,              0.0016422,              0.0016422
                      5,                0.25696,                0.86424,                0.91685,                0.46341,                      1,                0.49063,                0.46718,                0.43848,                 1.2842,                  0.495,               0.001634,               0.001634,               0.001634
                      6,                0.23487,                0.84567,                0.90935,                0.48946,                      1,                0.51907,                0.51307,                0.25339,                0.92247,                0.40756,              0.0016257,              0.0016257,              0.0016257
                      7,                0.21451,                0.81986,                0.90068,                0.49829,                      1,                 0.5065,                0.50475,                0.19006,                0.82625,                0.39541,              0.0016175,              0.0016175,              0.0016175
                      8,                0.21164,                0.82642,                0.90013,                0.49683,                0.99987,                0.52711,                0.48353,                0.28062,                0.84055,                0.44176,              0.0016092,              0.0016092,              0.0016092
                      9,                0.21173,                0.82999,                0.91074,                0.49929,                      1,                0.52523,                0.52512,                0.18338,                0.86495,                0.39301,               0.001601,               0.001601,               0.001601
                     10,                0.18546,                0.81312,                0.89481,                0.49745,                0.99769,                0.52972,                0.50623,                0.26371,                0.85048,                0.43614,              0.0015927,              0.0015927,              0.0015927
                     11,                0.18438,                0.81002,                0.89143,                0.49771,                0.98002,                0.53413,                0.52275,                0.21499,                0.91283,                0.40921,              0.0015845,              0.0015845,              0.0015845
                     12,                0.17698,                0.80395,                0.88956,                 0.4634,                      1,                0.52072,                0.49326,                0.24645,                 1.0423,                0.42821,              0.0015762,              0.0015762,              0.0015762
                     13,                0.16896,                0.79899,                0.88878,                0.49481,                      1,                0.52956,                0.47839,                0.27153,                 1.0463,                0.41895,               0.001568,               0.001568,               0.001568
                     14,                 0.1648,                0.79669,                0.88142,                0.49756,                      1,                0.54036,                0.53903,                0.19806,                0.83795,                0.45517,              0.0015597,              0.0015597,              0.0015597
                     15,                0.16582,                0.79195,                0.88819,                0.49628,                      1,                0.54039,                0.52603,                0.22651,                0.83817,                0.45602,              0.0015515,              0.0015515,              0.0015515
                     16,                0.15498,                0.79401,                0.88658,                0.49381,                 0.9987,                0.51784,                0.51452,                0.15907,                0.82883,                0.41514,              0.0015432,              0.0015432,              0.0015432
                     17,                 0.1461,                0.78664,                0.87746,                0.49657,                0.99727,                0.53729,                0.53022,                 0.1941,                0.79746,                0.40138,               0.001535,               0.001535,               0.001535
                     18,                0.15157,                0.79306,                 0.8897,                0.45915,                0.99727,                0.51533,                0.50379,                0.28019,                  1.266,                0.43291,              0.0015267,              0.0015267,              0.0015267
                     19,                0.15581,                0.79279,                0.88384,                0.49652,                0.95311,                0.51054,                0.48276,                0.18786,                0.89994,                0.38256,              0.0015185,              0.0015185,              0.0015185
                     20,                0.15518,                0.78955,                0.87303,                0.45665,                0.99727,                0.52669,                0.50361,                0.19604,                0.85323,                0.40481,              0.0015102,              0.0015102,              0.0015102
                     21,                 0.1519,                0.78185,                0.88743,                0.49191,                0.99769,                0.52872,                  0.527,                0.20062,                0.84253,                 0.4091,               0.001502,               0.001502,               0.001502
                     22,                0.15558,                0.78467,                0.88665,                0.49873,                0.99794,                0.56117,                0.55669,                0.15085,                0.82644,                0.36453,              0.0014937,              0.0014937,              0.0014937
                     23,                 0.1405,                0.78077,                  0.881,                0.48693,                0.99222,                0.52366,                  0.523,                0.16521,                0.79431,                0.37729,              0.0014855,              0.0014855,              0.0014855
                     24,                0.13521,                0.79004,                0.87745,                0.49895,                 0.9973,                0.52745,                0.50677,                0.14667,                0.76811,                0.36272,              0.0014772,              0.0014772,              0.0014772
                     25,                0.14176,                 0.7809,                0.87552,                0.49856,                      1,                0.51928,                0.51875,                0.18502,                0.79291,                0.38248,               0.001469,               0.001469,               0.001469
                     26,                0.13248,                  0.793,                 0.8726,                0.49676,                0.98892,                0.52558,                0.52414,                0.15804,                0.79936,                0.39304,              0.0014607,              0.0014607,              0.0014607
                     27,                0.13742,                0.77988,                0.88534,                0.49937,                      1,                0.53994,                0.53872,                0.18311,                0.82265,                0.40479,              0.0014525,              0.0014525,              0.0014525
                     28,                0.13712,                0.77842,                0.87318,                 0.4986,                0.99747,                 0.5362,                0.53496,                 0.1444,                0.77434,                0.38242,              0.0014442,              0.0014442,              0.0014442
                     29,                0.12117,                0.76748,                0.86858,                 0.4968,                      1,                0.52709,                  0.525,                0.15173,                0.77328,                0.37488,               0.001436,               0.001436,               0.001436
                     30,                0.12805,                0.76827,                0.86983,                0.49525,                      1,                0.53463,                0.53462,                0.13816,                0.76976,                0.36623,              0.0014277,              0.0014277,              0.0014277
