                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36696,                 1.6503,                0.99473,                0.49755,                0.99769,                0.50808,                0.50808,                0.20218,                 1.0387,                0.45673,             0.00055017,             0.00055017,             0.00055017
                      2,                0.26276,                 1.0629,                0.90626,                 0.4721,                 0.9902,                0.52545,                0.51219,                 0.2281,                 1.0396,                0.45362,              0.0011004,              0.0011004,              0.0011004
                      3,                 0.2524,                0.96625,                0.89673,                0.49602,                0.99882,                0.52507,                0.52407,                0.25551,                0.92182,                0.46884,               0.001645,               0.001645,               0.001645
                      4,                0.23565,                0.91316,                0.89171,                0.49956,                0.99744,                0.55337,                0.55337,                0.18493,                 0.8799,                0.42962,              0.0016422,              0.0016422,              0.0016422
                      5,                0.21156,                0.87839,                0.88749,                0.49205,                0.99306,                0.52485,                0.52273,                0.25094,                0.95132,                0.50404,               0.001634,               0.001634,               0.001634
                      6,                0.19669,                0.85971,                0.88278,                0.49317,                0.97604,                0.52942,                0.52795,                 0.2157,                0.86866,                0.44607,              0.0016257,              0.0016257,              0.0016257
                      7,                0.19089,                 0.8344,                0.88122,                0.48238,                0.99537,                0.51516,                0.51516,                0.17252,                0.87065,                0.43088,              0.0016175,              0.0016175,              0.0016175
                      8,                0.18291,                0.82703,                0.87867,                0.49349,                 0.9838,                0.54327,                0.54266,                0.19507,                0.83692,                0.43829,              0.0016092,              0.0016092,              0.0016092
                      9,                0.18034,                0.82448,                0.88162,                0.49964,                0.99769,                0.52891,                0.52891,                0.18914,                 0.8219,                0.43127,               0.001601,               0.001601,               0.001601
                     10,                0.17255,                0.81408,                0.87944,                0.49841,                0.99399,                0.54279,                0.54156,                0.19351,                0.81588,                0.44872,              0.0015927,              0.0015927,              0.0015927
                     11,                0.17287,                0.80893,                0.88289,                0.47634,                0.99769,                0.53625,                0.53616,                0.14572,                0.90572,                 0.4175,              0.0015845,              0.0015845,              0.0015845
                     12,                0.16805,                 0.8031,                0.87758,                0.48638,                0.99769,                0.53366,                0.53325,                0.11557,                0.82858,                0.38962,              0.0015762,              0.0015762,              0.0015762
                     13,                 0.1491,                 0.7955,                0.87289,                0.47046,                      1,                0.51872,                0.51653,                0.23138,                 1.0262,                0.48036,               0.001568,               0.001568,               0.001568
                     14,                0.15732,                0.79812,                0.87389,                0.49717,                0.99769,                0.51941,                0.51941,                0.12328,                0.81493,                0.40687,              0.0015597,              0.0015597,              0.0015597
                     15,                0.15387,                0.79134,                0.87318,                0.49795,                      1,                0.53744,                0.53744,                0.11745,                0.79664,                0.38998,              0.0015515,              0.0015515,              0.0015515
                     16,                 0.1433,                0.78842,                0.86805,                0.50005,                0.99891,                0.52549,                0.52545,                0.15021,                0.77225,                0.40982,              0.0015432,              0.0015432,              0.0015432
